Tissue	Spearman_rho_var/mean_dnds_mouse	p-value_var/mean_dnds_mouse	Spearman_rho_var/mean_dn_mouse	p-value_var/mean_dn_mouse	Spearman_rho_var/mean_ds_mouse	p-value_var/mean_ds_mouse	Spearman_rho_var_dnds_mouse	p-value_var_dnds_mouse	Spearman_rho_var_dn_mouse	p-value_var_dn_mouse	Spearman_rho_var_ds_mouse	p-value_rho_var_ds_mouse	Spearman_rho_mean_dnds_mouse	p-value_mean_dnds_mouse	Spearman_rho_mean_dn_mouse	p-value_mean_dn_mouse	Spearman_rho_mean_ds_mouse	p-value_mean_ds_mouse	Spearman_rho_var/mean_dnds_chimp	p-value_var/mean_dnds_chimp	Spearman_rho_var/mean_dn_chimp	p-value_var/mean_dn_chimp	Spearman_rho_var/mean_ds_chimp	p-value_var/mean_ds_chimp	Spearman_rho_var_dnds_chimp	p-value_var_dnds_chimp	Spearman_rho_var_dn_chimp	p-value_var_dn_chimp	Spearman_rho_var_ds_chimp	p-value_rho_var_ds_chimp	Spearman_rho_mean_dnds_chimp	p-value_mean_dnds_chimp	Spearman_rho_mean_dn_chimp	p-value_mean_dn_chimp	Spearman_rho_mean_ds_chimp	p-value_mean_ds_chimp
Liver	-0.15113423	3.61E-90	-0.153738827	2.83E-93	-0.0225716	0.002787151	-0.206038909	7.84E-169	-0.236248271	7.57E-223	-0.111699442	3.30E-50	-0.231014874	6.61E-213	-0.278479694	2.35090683283818e-312	-0.166996923	8.88E-111	-0.154088578	2.62E-81	-0.129565189	1.76E-61	0.014193872	0.071096161	-0.194295728	1.03E-129	-0.190828014	3.22E-133	-0.032116007	4.19E-05	-0.209699989	3.03E-151	-0.222210764	4.08E-181	-0.065885328	4.05E-17
Lung	-0.137241635	8.55E-75	-0.137442007	5.21E-75	-0.004046892	0.591258829	-0.222168322	1.16E-196	-0.250786144	8.91E-252	-0.106480751	9.20E-46	-0.271031732	2.41E-295	-0.319057744	0	-0.176115978	3.52E-123	-0.142427834	8.72E-70	-0.112792623	4.66E-47	0.019928331	0.011161086	-0.206654674	7.57E-147	-0.197060584	4.19E-142	-0.029354624	0.000180857	-0.238505323	2.37E-196	-0.246132196	4.97E-223	-0.066334549	2.48E-17
Minor_Salivary_Gland	-0.200411192	1.14E-157	-0.190911499	5.40E-143	-0.021362176	0.004757651	-0.259671125	2.02E-270	-0.282469377	1.08694442085074e-321	-0.114627362	8.50E-53	-0.288958085	0	-0.33513741	0	-0.178662415	9.09E-127	-0.180226305	1.63E-110	-0.135230764	1.37E-66	0.04112695	1.78E-07	-0.234144061	4.13E-189	-0.213134247	1.90E-166	-0.011027433	0.159619054	-0.255855434	1.18E-226	-0.257089506	7.72E-244	-0.057075716	3.22E-13
Muscle_Skeletal	-0.266897583	3.89E-285	-0.299542307	0	-0.138435626	3.93E-76	-0.304396603	0	-0.360300404	0	-0.205283556	1.39E-167	-0.318294645	0	-0.385448074	0	-0.239639945	2.01E-229	-0.215602354	1.59E-159	-0.213952818	3.03E-167	-0.039833449	3.89E-07	-0.245139752	1.17E-207	-0.260448117	2.01E-250	-0.076470092	1.57E-22	-0.253911702	3.85E-223	-0.279763859	3.27E-290	-0.09937035	5.62E-37
Nerve_Tibial	-0.229510346	2.71E-209	-0.229142848	1.30E-208	-0.04035339	8.42E-08	-0.293887476	0	-0.332407661	0	-0.155036114	1.46E-95	-0.316855116	0	-0.375781978	0	-0.219409236	9.74E-192	-0.199428379	2.71E-136	-0.156657706	1.32E-89	0.030686225	9.30E-05	-0.24801249	1.17E-212	-0.236187286	5.03E-205	-0.032335914	3.71E-05	-0.261535285	4.23E-237	-0.271229137	3.17E-272	-0.074079727	3.07E-21
Ovary	-0.225632803	1.38E-201	-0.23548219	6.69E-220	-0.055603091	1.65E-13	-0.287978296	0	-0.331509598	0	-0.164813222	6.53E-108	-0.305707361	0	-0.367657345	0	-0.223801324	1.32E-199	-0.19259178	7.42E-127	-0.168217315	5.06E-103	0.009929002	0.206565844	-0.237347985	2.04E-194	-0.240175919	3.80E-212	-0.048683237	5.23E-10	-0.247699529	4.12E-212	-0.268739224	4.23E-267	-0.087759591	3.50E-29
Pancreas	-0.209182743	3.58E-173	-0.21066907	1.14E-175	-0.034092217	6.10E-06	-0.261578456	1.61E-274	-0.294380099	0	-0.128931033	1.99E-66	-0.284846428	0	-0.334871557	0	-0.183290159	1.99E-133	-0.191068823	5.25E-125	-0.156685245	1.39E-89	0.018897363	0.016144077	-0.231339992	1.56E-184	-0.220601838	1.82E-178	-0.033106691	2.41E-05	-0.243603105	5.24E-205	-0.250646369	1.77E-231	-0.068955118	1.32E-18
Pituitary	-0.254106792	1.81E-256	-0.250120112	2.74E-248	-0.01439768	0.056592342	-0.322485701	0	-0.353059262	0	-0.130603945	3.97E-68	-0.341775194	0	-0.393635024	0	-0.19988505	8.16E-159	-0.200676406	1.30E-137	-0.150891931	6.21E-83	0.055921224	1.12E-12	-0.25368719	9.77E-223	-0.233802993	7.84E-201	-0.011015372	0.160076103	-0.26512688	7.68E-244	-0.269749067	3.58E-269	-0.061924417	2.69E-15
Prostate	-0.203371789	1.17E-163	-0.195412087	5.19E-151	0.00037113	0.960735118	-0.282920808	9.88131291682493e-323	-0.307869973	0	-0.108404902	2.24E-47	-0.313761418	0	-0.361009283	0	-0.18171908	3.80E-131	-0.174922762	9.48E-105	-0.121120671	5.29E-54	0.060669336	1.08E-14	-0.237903596	2.41E-195	-0.211351047	1.21E-163	-0.003026041	0.699565428	-0.258016554	1.34E-230	-0.256868301	2.08E-243	-0.05396993	5.67E-12
Skin_Not_Sun_Exposed_Suprapubic	-0.201904192	2.23E-161	-0.187538568	4.12E-139	-0.01589049	0.034976178	-0.274142336	2.20E-302	-0.289697556	0	-0.112590063	5.47E-51	-0.304319694	0	-0.341430611	0	-0.173443964	1.79E-119	-0.184670367	8.90E-117	-0.144127894	5.77E-76	0.031403624	6.37E-05	-0.239072321	2.64E-197	-0.217574614	1.54E-173	-0.012151977	0.121194376	-0.257779975	3.64E-230	-0.253213352	2.32E-236	-0.047449568	1.41E-09
