5sd	10sd	15sd	20sd	25sd	30sd	35sd	40sd
ENSG00000004139	0.125842340119612	0.0814061387218248	0.058716349841688	0.0417255814024945	0.0309122249149821	0.0200338170614894	0.0140840401435112	0.0048651296951245
ENSG00000004399	0.115195200559235	0.0729299304076352	0.0562722549013314	0.0430233642241651	0.0379367359296157	0.0278143175076774	0.0170294311420492	0.00640765937957215
ENSG00000004455	0.148507337733271	0.177055047971145	0.162574806652582	0.163721504244925	0.137675022971684	0.123548980671056	0.101345090152443	0.00209180785104533
ENSG00000004468	0.162565199097072	0.137941757153624	0.122195196366046	0.10756412889882	0.0754795279444429	0.0613822569855502	0.0488882445270093	0.00292790200605807
ENSG00000004478	0.106566413685461	0.0772969577271769	0.0718006814256403	0.0639184229388628	0.051745685551254	0.0481406713090083	0.0374459036069396	0.0163785973583213
ENSG00000004487	0.183967767242903	0.195892148322628	0.179114293695147	0.165465387959406	0.151419958281738	0.128317475476571	0.113379186995587	0.0478453261994097
ENSG00000004534	0.112560515743017	0.0735310207017605	0.0500830001640047	0.0456998669018404	0.0395723768673411	0.0303127132459172	0.0254783660926299	0.0125460324294394
ENSG00000004660	0.170136382644572	0.164366467431942	0.153444760424466	0.143055635483562	0.127720959223829	0.085672827398873	0.0617966007128149	0.0131729356443015
ENSG00000004700	0.165880618273343	0.150925030125846	0.150106296829951	0.136591973127598	0.104978426638375	0.0862743715766454	0.0562659825169747	0.00288345833638517
ENSG00000004766	0.107689354807196	0.104108882767663	0.100371623612233	0.103969182408803	0.0903895459398125	0.0751150537947103	0.0716780367538401	0.0160048965464018
ENSG00000004776	0.146114376370371	0.098626266377251	0.077077348740236	0.0659181749563036	0.0642315695007372	0.0414326044786957	0.0300052226682869	0.0143576769230184
ENSG00000004777	0.166458704518816	0.136325564405828	0.101810057333076	0.0764125732136576	0.0508959776397937	0.0317745908351906	0.0239094438849264	0.00630950747077406
ENSG00000004779	0.2221937176884	0.18192500858691	0.151231695667455	0.135865042630336	0.0991182961011309	0.061767470435385	0.0247358723978653	0.0045668250360855
ENSG00000004799	0.166935564086239	0.145579333957653	0.125685981398528	0.120084861793377	0.120244747529254	0.094554035651781	0.0775739155568311	0.0412211680017605
ENSG00000004809	0.187516726567262	0.119130167730868	0.0892620658366728	0.0746183678008481	0.0544120404669383	0.0455417085704923	0.0340690922224079	0.0129844472170648
ENSG00000004838	0.228784780019536	0.147044679688306	0.104899339358825	0.0581875782555474	0.0429176511216485	0.0276681420734518	0.0214770080073434	0.00932819708227527
ENSG00000004846	0.116223018710516	0.071382067493611	0.0554216465362654	0.0419348632396889	0.0291957600900346	0.0188424121533222	0.0134158935996989	0.0054046710627679
ENSG00000004864	0.177786490306608	0.169519500080978	0.159116954267064	0.171876102190416	0.153207071656889	0.14667798004591	0.106267279357556	0.0306120403410519
ENSG00000004866	0.147262598186496	0.104328962702216	0.0789346638376423	0.0605969557770891	0.0521084591724646	0.0517043663470848	0.045003562708335	0.00388178414578406
ENSG00000004897	0.128672937445192	0.120248145035498	0.0977973253012963	0.0749694021082014	0.0554204875894628	0.0434977459906633	0.038184644250536	0.00327740349006743
ENSG00000004939	0.191915209531141	0.111211311263617	0.0615524362926932	0.0379877156185571	0.0265402457405078	0.0191986314387764	0.00424736209127027	0.00149406217924308
ENSG00000004948	0.170866536950659	0.0986611548398984	0.0724111392970216	0.0610404426502377	0.0369111165816489	0.0229828112738795	0.0126892086397674	0.00458524223914186
ENSG00000004961	0.116592246140873	0.0854580004384707	0.0575821202094993	0.0399495883273554	0.022578418846342	0.0183631670610641	0.0126134104139444	0.00488047937341801
ENSG00000004975	0.121280493608686	0.0787851213974858	0.0499460749392201	0.0440513107586927	0.0359235432996686	0.0263399893946046	0.0204780274088662	0.00668355724957088
ENSG00000005001	0.110443457971385	0.0645050156268017	0.0490912671623017	0.0374060008396993	0.0285652790426483	0.0213822900556116	0.0160168795549312	0.00694582031221936
ENSG00000005007	0.121239549072561	0.0997673855666583	0.099517249334166	0.0847662742573542	0.0820116913426737	0.0709091718140404	0.0607949613684503	0.0265106031326921
ENSG00000005020	0.128705219576992	0.112386345591532	0.112582948621336	0.1048864189637	0.105415347821708	0.0932671332992162	0.0674174711736587	0.0210324464530452
ENSG00000005022	0.147043429690068	0.0818127343019926	0.0521873539113496	0.0452958848278774	0.0279909879070211	0.0223824279825279	0.0159854577739545	0.0060151138095485
ENSG00000005059	0.147066013522449	0.148354984440825	0.151127419865651	0.143324305205508	0.139703956743022	0.125982986682339	0.110444542059028	0.00264980751332396
ENSG00000005073	0.0981092925540994	0.0647418018833082	0.0455778143294423	0.0377472930373314	0.0314290448535421	0.0219198022843941	0.0145838775740448	0.00580175611150462
ENSG00000005075	0.095820716965696	0.0816419529652224	0.0619564641106919	0.0477595604863936	0.0377966674396748	0.014713356709117	0.0109234963699045	0.00579241762719717
ENSG00000005100	0.145524113745059	0.172060457069789	0.155786054364838	0.144701620619817	0.106423484111096	0.0889697708796943	0.0566743851020684	0.00255661937249649
ENSG00000005102	0.155273264188233	0.11357887960993	0.0822317680105972	0.0567482693137185	0.0505044572503065	0.0398085847085715	0.0174836926398843	0.0060425652754636
ENSG00000005108	0.144079842678101	0.112873559280903	0.093814473534705	0.0921171958335184	0.0916644675641878	0.0726463247751559	0.0497245748311215	0.0156734054097385
ENSG00000005156	0.144298004435571	0.145074569054766	0.136918328573929	0.125022332189971	0.11539249778611	0.104778981201921	0.0900899068404442	0.0389847201309501
ENSG00000005175	0.12476581457563	0.109400607031611	0.0741567830042425	0.0714088014370138	0.0546880988724613	0.0319814066927727	0.0349118866602532	0.00300822220175512
ENSG00000005187	0.127080021445867	0.0905289735052253	0.0777984514120264	0.0715622986981302	0.0607254044379405	0.0558646493450701	0.0503031577462164	0.012552850856709
ENSG00000005189	0.236357452651551	0.206098112334112	0.173811713097031	0.13815047759372	0.121189465875994	0.104279197846817	0.0971695572693397	0.0362868183324015
